Sample Time,Engine Speed (RPM),Engine Load Factor (%),Engine Coolant Temperature (Deg. C),Engine Oil Pressure (kPa),Boost Pressure (kPa),Fuel Pressure (kPa),Inlet Air Temperature (Deg. C),Fuel Consumption Rate (L/hr)
11/18/2021 18:44,1300,27,82,434.5,6,639,34.4,28.05
11/18/2021 18:14,1421,51,82,435.5,20,637,38.2,55.7
11/18/2021 17:24,800,24,83,273,1,572.5,37.8,13.3
11/18/2021 16:54,1685,85,83,444.5,112,660,40.8,134.9
11/18/2021 16:24,1363.5,34,83,428.5,8,621.5,35.8,33.25
11/18/2021 15:54,1297.5,28,82,432.5,5.5,634,36.9,27.65
11/18/2021 13:50,1687,100,85,438.5,127,654.5,44.6,154.6
11/18/2021 13:20,1296,28,82,433,5,641.5,33.5,26.95
11/18/2021 11:59,1301.5,29,82,428.5,6.5,634.5,38.2,27.3
11/18/2021 11:29,1376,56,82,439.5,18,640,32.7,55.6
11/17/2021 17:57,1302,27,82,429.5,6.5,624,36.6,25.9
11/17/2021 17:27,1639,74,83,446,93,675.5,34.9,119
11/17/2021 16:57,1789.5,59,82,457.5,39,681,31.5,90.25
11/17/2021 16:27,1859.5,69,83,453.5,86.5,676,31.8,109.25
11/17/2021 15:57,1770.5,37,82,455.5,68.5,684,30.6,75.9
11/17/2021 15:27,1802,23,83,456,45,681,29.9,50.25
11/17/2021 14:57,1304.5,32,82,433.5,8.5,648.5,29.3,30.5
11/17/2021 13:46,1303.5,29,82,427.5,7.5,642,36,27.8
11/17/2021 13:16,800,21,82,282,1.5,574,32.8,12.7
11/17/2021 10:59,800,22,83,286.5,1.5,579,32.8,12.7
11/16/2021 16:43,800.5,19,82,284.5,1,576.5,34.8,12
11/16/2021 16:13,801,19,83,282,1.5,576.5,36.1,12
11/16/2021 14:48,800,21,82,283,1,577,38,12.35
11/16/2021 14:18,799.5,21,82,282.5,1,577,38,12.6
11/16/2021 13:49,799.5,19,82,282.5,1,575.5,38.7,11.75
11/16/2021 13:18,799.5,25,82,282.5,1.5,577.5,37.4,13.9
11/16/2021 12:48,800.5,22,82,284,1,576.5,36.9,12.6
11/16/2021 12:18,804,21,82,284.5,1.5,577.5,37,12.45
11/16/2021 11:48,799,20,82,284,1.5,576.5,36.8,12
11/16/2021 11:18,800,23,82,283,1.5,578,36.7,13.05
11/16/2021 10:31,799.5,30,82,289.5,2,583.5,31.8,15.1
11/15/2021 17:34,801.5,29,82,282.5,2,582,37.7,14.85
11/15/2021 16:24,800,22,82,281.5,1.5,576.5,38.6,12.85
